Player,Team,POS,xG,xTC,xTP,PPAS,PCRY,PBX,PRCV,PASS,PC%,HDA,TKLA,TKL%,AERA,AER%
Sergio González,Leganes,DEF,0.04,0.06,0.06,3.08,0.62,0,0.54,42.14,83.8,0.11,1.53,74.5,3.33,54.2
David Torres,Real Valladolid,DEF,0.01,0.06,0.06,3.12,0.87,0,0.69,42.18,82.6,0.12,1.07,77.8,2.31,48.7
Mario Martín,Real Valladolid,MID,0.09,0.06,0.06,1.84,0.83,0.05,2.59,38.08,83.9,2.23,4.27,68.9,3.03,46.9
Robin Le Normand,Atletico,DEF,0.07,0.06,0.06,2.46,0.88,0,0.8,49.08,90.3,0.27,1.25,78.8,3.45,59.3
Jon Martín,Real Sociedad,DEF,0.05,0.06,0.06,2.83,1.06,0,0.88,49.3,86.5,0.64,1.37,80,5.58,86.9
Fernando Calero,Espanyol,DEF,0.05,0.06,0.06,2.9,0.58,0,0.78,40.3,84.2,0.21,2.19,81,3.13,46.7
Lucas Torró,Osasuna,MID,0.07,0.06,0.06,1.98,0.31,0,2.56,37.74,75.7,1.25,2.9,74,6.27,69.3
Álex Suárez,Las Palmas,DEF,0.01,0.06,0.06,3.06,0.66,0,0.67,45.49,85.9,0.27,1.65,85.7,2.32,33.3
Abdel Abqar,Deportivo Alaves,DEF,0.02,0.06,0.06,2.33,0.79,0,0.4,30.73,76.8,0.39,1.6,71.4,2.32,54.9
Jon Guridi,Deportivo Alaves,ATT,0.13,0.06,0.05,1.42,0.69,0.08,3.37,29.2,74.9,1.6,2.51,63.5,4.63,41.4
Ayoze Pérez,Villarreal,ATT,0.6,0.06,0.04,1.15,1.25,1.2,5.5,17.34,75.6,1.82,1.87,60,1.87,28.9
Adrià Alti,Leganes,DEF,0.02,0.06,0.05,1.69,0.74,0.15,1.68,31.12,78.8,0.66,2.84,75,1.57,35.5
Stefan Bajcetic,Las Palmas,MID,0.02,0.06,0.06,1.9,0.54,0,1.64,36.1,72.1,1.65,3.91,64.4,2.43,57.1
Renato Tapia,Leganes,MID,0.03,0.06,0.06,2.21,0.52,0.07,1.36,35.79,78.8,0.88,2.91,69.8,1.89,58.9
Copete,Mallorca,DEF,0.03,0.06,0.06,2.83,0.79,0,0.62,40.32,83.3,0.53,1.63,96.8,2.11,65
Pablo Marín,Real Sociedad,MID,0.13,0.06,0.05,1.26,0.81,0.07,3.17,30.31,80.3,2.25,2.18,72.7,2.71,39
Natan,Real Betis,DEF,0.02,0.06,0.05,2.74,1.02,0,0.76,44.51,88.6,0.28,1.41,90,3.17,68.9
Santiago Mouriño,Deportivo Alaves,DEF,0.06,0.06,0.05,2.13,0.69,0,0.54,30,77.4,0.48,2.53,72.4,2.84,58.5
Aihen Muñoz,Real Sociedad,DEF,0.02,0.06,0.05,2.1,0.69,0,1.31,47.8,71.2,0.76,2.8,62.2,2.88,57.9
Urko González,Espanyol,MID,0.04,0.06,0.06,1.58,0.94,0.06,1.58,26.18,77.8,1.15,3.7,75.4,2.12,57.1
Eray Cömert,Real Valladolid,DEF,0.07,0.06,0.06,2.73,0.71,0,0.94,41.61,88,0.14,1.72,73.7,1.76,46.1
Munir El Haddadi,Leganes,ATT,0.11,0.05,0.05,1.14,0.6,0.25,4.21,22.52,75.8,2.1,1.76,57.1,2.94,28.6
Marash Kumbulla,Espanyol,DEF,0.06,0.05,0.05,2.63,0.81,0,0.56,38.49,84.5,0.3,1.78,76.9,3.14,60.9
Jorge Herrando,Osasuna,DEF,0.12,0.05,0.05,2.88,0.7,0,0.98,43.14,85.8,0.41,1.3,72.7,2.25,73.7
Enzo Loiodice,Las Palmas,MID,0.02,0.05,0.05,2.39,0.68,0,3.1,51.28,84.5,1.38,2.77,70.8,1.73,46.7
Alex Král,Espanyol,MID,0.05,0.05,0.05,1.19,0.65,0.18,2.47,24.97,71.8,1.13,1.93,81.5,1.96,57.6
Dário Essugo,Las Palmas,MID,0.03,0.05,0.05,2.34,0.72,0.04,1.87,40.83,85.6,1.07,3.18,78.4,2.49,50
César Tárrega,Valencia,DEF,0.06,0.05,0.05,2.81,1.22,0,0.67,45.59,84.3,0.3,1.57,84.5,4.02,59.1
Selim Amallah,Real Valladolid,MID,0.09,0.05,0.05,1.42,0.71,0,2.65,24.63,78,1.58,2.43,77.5,1.28,23.8
Scott McKenna,Las Palmas,DEF,0.04,0.05,0.05,2.77,0.7,0,0.87,48.37,86.9,0.1,0.79,87.5,4.14,66.7
Mateu Morey,Mallorca,DEF,0.05,0.05,0.04,1.92,0.91,0.44,1.69,42.48,77.8,0.88,3.51,68.8,1.54,57.1
Abdul Mumin,Rayo Vallecano,DEF,0.04,0.05,0.05,2.91,0.63,0.04,0.59,43.95,82.7,0.32,2.01,78,2.22,54.5
Yvan Neyou,Leganes,MID,0.03,0.05,0.05,1.96,0.73,0.04,2.24,40.1,86.2,1.21,2.64,67.6,1.46,53.7
Cenk Özkacar,Real Valladolid,DEF,0.02,0.05,0.05,2.91,0.63,0,0.55,41.89,84.9,0.43,2.04,47.4,2.68,48
Johnny Cardoso,Real Betis,MID,0.08,0.05,0.05,2,0.77,0.04,2.32,41.9,85.9,1.63,3.14,66.3,1.66,61.4
Omar Mascarell,Mallorca,MID,0.03,0.05,0.05,2.22,0.5,0,1.53,39.16,84.2,0.61,1.96,56.3,2.78,61.8
Vitor Roque,Real Betis,ATT,0.41,0.05,0.04,0.66,0.92,0.92,3.75,12.93,73.5,3.23,1.06,81.3,2.77,35.7
Isaac Romero,Sevilla,ATT,0.25,0.05,0.03,0.54,0.52,0.49,3.84,16.62,70.4,2.71,0.98,50,3.05,37
Juan Cruz,Osasuna,DEF,0.01,0.05,0.05,2.22,0.35,0.05,0.64,35.88,78.1,0.43,1.86,77.1,1.06,50
Takuma Asano,Mallorca,ATT,0.25,0.05,0.04,0.91,0.91,0.95,4.43,17.35,68,1.03,1.43,72.2,2.54,21.9
Álex Sola,Getafe,ATT,0.06,0.05,0.02,0.88,1.09,0.56,3.23,19.44,64.6,2.8,2.96,56.8,3.76,40.4
Peque,Sevilla,ATT,0.15,0.05,0.05,1.16,0.57,0.14,3.5,25.01,79.9,2.01,2.01,64.3,2.36,21.2
Peque Fernández,Sevilla,ATT,0.15,0.05,0.05,1.16,0.57,0.14,3.5,25.01,79.9,2.01,2.01,64.3,2.36,21.2
Fábio Silva,Las Palmas,ATT,0.27,0.05,0.04,0.71,0.63,0.71,5.39,20.67,66.2,2.09,1.07,54.2,4.58,51.5
Seydouba Cissé,Leganes,MID,0.07,0.05,0.04,1.71,0.77,0.1,2.62,39.39,84.3,2.02,2.91,67.1,2.13,41.9
Willy Kambwala,Villarreal,DEF,0.02,0.05,0.05,2.62,0.67,0,0.55,42.6,87.7,0.22,1.52,90.5,2.4,45.5
Aridane Hernández,Rayo Vallecano,DEF,0.14,0.05,0.05,2.53,0.48,0,0.54,41.5,87.9,0,1.18,86.7,4.65,67.8
Adam Aznou,Real Valladolid,DEF,0.02,0.05,0.03,1.39,1,0.27,1.57,31.68,71.4,1.1,4.49,59.2,1.37,73.3
Juma Bah,Real Valladolid,DEF,0.02,0.05,0.05,2.26,0.39,0,0.9,38.06,81.5,0,1.12,83.3,3.75,72.5
Matija Nastasic,Leganes,DEF,0.01,0.05,0.05,2.15,0.41,0,0.32,32.86,82.5,0.15,1.31,76.5,2.16,73.2
Cucho Hernández,Real Betis,ATT,0.31,0.05,0.05,1.25,0.9,0.81,5.33,22.76,71.8,2.36,1.47,75,4.71,46.9
Mikel Oyarzabal,Real Sociedad,ATT,0.29,0.04,0.03,0.7,0.65,0.41,4.37,18.82,73.2,1.91,1.42,65.8,4.04,31.5
Álvaro Rodríguez,Getafe,ATT,0.13,0.04,0.04,0.81,0.5,0.18,6.98,22.2,46.9,4.05,1.38,66.7,16.67,56.4
Vedat Muriqi,Mallorca,ATT,0.29,0.04,0.04,0.77,0.31,0.37,6.45,19.95,60.8,1.55,0.45,63.6,9.41,57.6
Javi Puado,Espanyol,ATT,0.23,0.04,0.03,0.84,1.08,0.64,3.43,18.81,77.2,0.89,0.98,65.7,1,22.2
